text,label
Add another song to the Cita Romantica playlist. ,AddToPlaylist
add clem burke in my playlist Pre-Party R&B Jams,AddToPlaylist
Add Live from Aragon Ballroom to Trapeo,AddToPlaylist
add Unite and Win to my night out,AddToPlaylist
Add track to my Digster Future Hits,AddToPlaylist
add the piano bar to my Cindy Wilson,AddToPlaylist
Add Spanish Harlem Incident to cleaning the house,AddToPlaylist
add The Greyest of Blue Skies in Indie Espanol my playlist,AddToPlaylist
Add the name kids in the street to the plylist New Indie Mix,AddToPlaylist
add album radar latino,AddToPlaylist
Add Tranquility to the Latin Pop Rising playlist. ,AddToPlaylist
Add d flame to the Dcode2016 playlist.,AddToPlaylist
Add album to my fairy tales,AddToPlaylist
I need another artist in the New Indie Mix playlist. ,AddToPlaylist
Add to playlist i love my neo soul the name national treasure book of secrets,AddToPlaylist
Add the fire and the wind to my Digster Future Hits playlist.,AddToPlaylist
add Caleigh Peters to my women of country list,AddToPlaylist
add children of telepathic experiences to the playlist named baladas romanticas,AddToPlaylist
add 9th Inning to my bossa nova dinner playlist,AddToPlaylist
I need another tune in my legendary guitar solos playlist. ,AddToPlaylist
Add Slimm Cutta Calhoun to my this is prince playlist. ,AddToPlaylist
Add Always to dena's Baroque 50 Spotify Picks playlist. ,AddToPlaylist
add song to Sleepytime,AddToPlaylist
Add an album to my list La Mejor Musica Dance 2017,AddToPlaylist
"add Hey, Johnnie Cope, Are Ye Waking Yet to year in metal 2016 playlist",AddToPlaylist
Add the album to the psychedelic rock playlist ,AddToPlaylist
Can you add Esquivando charcos to my playlist entitled the piano bar,AddToPlaylist
Add wiktor coj to the Sleep playlist.,AddToPlaylist
Incorporate time warp into my fairy tales playlist. ,AddToPlaylist
add this MakSim tune to Trad Folk,AddToPlaylist
add tune to my playlist eletro br,AddToPlaylist
Add this tune to my Dinnertime Acoustics list,AddToPlaylist
add monsters this is prince playlist,AddToPlaylist
add a tune in Chill Vibes,AddToPlaylist
Can you add a track to my Spain Top 50 playlist,AddToPlaylist
put this album by Mike Tramp on Deathcore,AddToPlaylist
Add ross the boss to laurie's listas de exitos list,AddToPlaylist
Add some Beatmaster V to the This Is Nicky Jam playlist. ,AddToPlaylist
add paulinho da viola to my Radio Rock song list,AddToPlaylist
add Eef Barzelay to my Country Coffeehouse,AddToPlaylist
Add this artist to queen playlist,AddToPlaylist
add Olga Souza to virginia's femme fatale playlist,AddToPlaylist
Add an album by m g sreekumar to my laidback acoustic playlist.,AddToPlaylist
Add this album to my spotify orchestra cello playlist,AddToPlaylist
I want to put goldy mcjohn on my Rock Party playlist,AddToPlaylist
Add this song to noreen's fresh finds six strings,AddToPlaylist
A Shawnna to the Warm Hearts Feel Good playlist.,AddToPlaylist
Add this tune to Rock Save The Queen,AddToPlaylist
Add Firehouse to my acoustic soul list.,AddToPlaylist
add this david cole track to my Totally Stress Free,AddToPlaylist
Add Progress to my clasica para todos playlist. ,AddToPlaylist
Add the artist  tony thompson to my canta en la ducha playlist,AddToPlaylist
Add the artist to my This Is Mozart playlist.,AddToPlaylist
Add this track to downtempo beats,AddToPlaylist
Add Quicksand to my valentine's day love playlist,AddToPlaylist
Add feel the passion to my this is kudai playlist. ,AddToPlaylist
add this song to my us latin top 50 playlist,AddToPlaylist
Put this artist in Pachangueo Total,AddToPlaylist
add vl mike to my Dcode2016 playlist,AddToPlaylist
add how to my week end playlist,AddToPlaylist
Add Norma Jean to my pure rock & roll playlist.,AddToPlaylist
Add Kirk Hammett to Calm Down,AddToPlaylist
Add On with the Show to my Beast Mode playlist,AddToPlaylist
add kjetil vidar haraldstad to listas de exitos,AddToPlaylist
can you add xanadu to Latin Alternative Music,AddToPlaylist
add this track to krystal's piano 100,AddToPlaylist
Can you put this track onto the playlist the selektor?,AddToPlaylist
my jazz for loving couples needs more push the button,AddToPlaylist
add the album the martin garrix show to my playlist,AddToPlaylist
add gina schock to workout twerkout,AddToPlaylist
Add this tune to cristina's endorphin rush playlist,AddToPlaylist
add this tune to my It's a Southern Thing playlist,AddToPlaylist
add Ik Tara to laundry playlst,AddToPlaylist
Add this tune to This Is Nicky Jam,AddToPlaylist
Can you add something by the artist Paul Cargnello to my Chill Tracks playlist,AddToPlaylist
add Runaljod gap var Ginnunga to ashlee's playlist titled forever country,AddToPlaylist
Put The Orange and the Green on Los 40 Radio exitos,AddToPlaylist
Add an album by Liza Oumarova to the Steampunk playlist.,AddToPlaylist
Please add a song to ines's playlist called Metal Party,AddToPlaylist
For playlist todo latino add Absolutely Sweet Marie,AddToPlaylist
add gn to night vibes,AddToPlaylist
Can you add Blood On The Face to the playlist called Heartland Country,AddToPlaylist
The spring classical playlist needs Partners in Crime added to it. ,AddToPlaylist
add the artist Tomohisa Yamashita to the conexiones playlist,AddToPlaylist
Add Written in Red to my cleaning the house playlist. ,AddToPlaylist
Add cordell mosson to my i love my neo soul list,AddToPlaylist
add album to Feeling Blue,AddToPlaylist
I want to put another album into the a peaceful rush hour playlist. ,AddToPlaylist
Open my acoustic concentration playlist and play an entire album,AddToPlaylist
add sonntag to my Assassin's Creed,AddToPlaylist
I want more francis healy in the Rockin' Vibes playlist. ,AddToPlaylist
add gareth gates to my autumn playlist,AddToPlaylist
add tune to sxsw fresh playlist,AddToPlaylist
add track to todo latino,AddToPlaylist
Add to my verano list a song by andy lee,AddToPlaylist
Add song to my Club Hits,AddToPlaylist
add this tune to my playlist titled uncharted 4 nathan drake,AddToPlaylist
Add 100% te ljubam to the Hit Remix playlist,AddToPlaylist
Put this album on totally alternative,AddToPlaylist
put this album into becky's infinite indie folk playlist,AddToPlaylist
Add Yuna Ito to the hot rods & horror shows playlist. ,AddToPlaylist
add the artist Ruby to my digging now list,AddToPlaylist
add this tune to my It's a Southern Thing playlist,AddToPlaylist
Add the album to the top 100 country tracks on spotify playlist.,AddToPlaylist
Add this track to the classical music for smart kids playlist,AddToPlaylist
Add an album to corinne's Beast Mode playlist.,AddToPlaylist
Include the album by Arthur Rhames in Urban Poet,AddToPlaylist
I need to add to the all things post starting with my favorites from the silence,AddToPlaylist
add Nothing Fancy to Meditate to Sounds of Nature playlist,AddToPlaylist
Add CJ Snare to my indie mim playlist,AddToPlaylist
Add Ernie Hawkins to the Dubstep playlist. ,AddToPlaylist
Please put this song onto my Urban Hits playlist.,AddToPlaylist
add The Spine Surfs Alone to my playlist called The Funny Thing About Football Is,AddToPlaylist
Add Ajoy Chakrabarty to women of country playlist,AddToPlaylist
add this song to brooklyn beat,AddToPlaylist
Can you add some disco to my playlist called Genuine R&B,AddToPlaylist
add Anthony Hamilton to my list Women of Hip Hop,AddToPlaylist
Add As I Was Going to St Ives to the fantasia playlist. ,AddToPlaylist
put paula abdul on Musica Espanola 2017,AddToPlaylist
Add the entity Por una cabeza to my playlist Forever Alone,AddToPlaylist
Add track to Afternoon Train Ride,AddToPlaylist
Add silver apples to teh sin estres playlist.,AddToPlaylist
Please add this song to my llegando a casa palylist,AddToPlaylist
Add the song to the martin garrix show  playlist,AddToPlaylist
Add more David Wolfenberger to my Duetos playlist. ,AddToPlaylist
I want to add Club Mix to the playlist with the title 50 Clasicos,AddToPlaylist
add Eric Bibb to Country Coffeehouse,AddToPlaylist
Add gregg bissonette to my US Latin Top 50 playlist,AddToPlaylist
add track 70s smash hits to my,AddToPlaylist
add this album to my Blues playlist,AddToPlaylist
I want this song on the playlist called chill vibes,AddToPlaylist
Add this adam clayton tune to sxsw fresh playlist,AddToPlaylist
add this teddy charles album to this is pavarotti my playlist ,AddToPlaylist
Can you add confessions to my playlist called Clasica,AddToPlaylist
Please add tobymac's song onto the indiespensables playlist.,AddToPlaylist
add an album to playlist Emily Dickinson,AddToPlaylist
Add Buddy DeSylva to my this is j balvin playlist,AddToPlaylist
ad Czarna dziewczyna to instrumental madness playlist,AddToPlaylist
I want to add this song to my Infantil playlist,AddToPlaylist
add vera to my 80's Jam Session playlist,AddToPlaylist
add A Compilation of Warped Music II to workout twerkout playlist,AddToPlaylist
Add a track to my list Made in Puerto Rico,AddToPlaylist
add this track to my epic wall of sound playlist,AddToPlaylist
add Michael LePond to electronic bliss,AddToPlaylist
Add angela au to the playlist radar latino,AddToPlaylist
add artist abdel halim hafez to my conexiones playlist,AddToPlaylist
Add track  to this is puccini,AddToPlaylist
I need to add a song to my lo que suena new york playlist.,AddToPlaylist
Add this artist to this is Rosana,AddToPlaylist
add Joelia Savitsjeva in 88 keys,AddToPlaylist
add alain caron to my travelling playlist,AddToPlaylist
Add the r l burnside album to my Nothing But A Party R&B playlist,AddToPlaylist
add Steve Jordan to inez's tgif,AddToPlaylist
Add to my playlist all funked up this track,AddToPlaylist
add satisfied to my Rockin' Vibes playlist,AddToPlaylist
add this artist named Prince to the playlist all new all now,AddToPlaylist
add billy strayhorn to my highway 61 playlist,AddToPlaylist
Add ramble on to Halloween Teens,AddToPlaylist
add this song to Rock Party,AddToPlaylist
I want to add lady maisry to my playlist lo que suena new york,AddToPlaylist
I want to add an album to noreen's endorphin rush playlist. ,AddToPlaylist
Add Famous to my playlist lo que suena new york,AddToPlaylist
Add shawn camp to my soulful disco playlist. ,AddToPlaylist
add bonobo to queen playlis,AddToPlaylist
add hold my liquor to electroNOW,AddToPlaylist
Add Tobias Sammet to my bring back the 90s list,AddToPlaylist
Add Jack Be Nimble to my reggae bombastic list,AddToPlaylist
add jan smit in endorphin rush,AddToPlaylist
add Rupee to my Ultra Metal playlist,AddToPlaylist
Please add Liberty Forever to the road trip playlist.,AddToPlaylist
Add gene clark to diann's chill out list,AddToPlaylist
Put another track in my electronica & dance playlist. ,AddToPlaylist
add the tune to the Indie Workout playlist,AddToPlaylist
Add david henry hwang to the This Is Nicky Jam playlist.,AddToPlaylist
add this Jane Olivor track to my The Sleep Machine Waterscapes,AddToPlaylist
I would like this artist on drum & breaks.,AddToPlaylist
Include dschiwan gasparjan in beth's rare groove playlist. ,AddToPlaylist
I'd like to add the artist Jesper Kyd onto my fresh electronic playlist.,AddToPlaylist
add Joplin in Concert to my feel good dinner,AddToPlaylist
